i18n_key,en,zh,vi,id
dining.rule21,Common toast is 'Cheers'; also 'To your health'.,常见敬酒用语是“Cheers”或“祝你健康”。,Chúc rượu thường dùng từ 'Cheers'.,Ucapan toast umum adalah 'Cheers'.
dining.rule22,"At pubs, expect rounds or 'a shout' culture of buying drinks.",在酒吧常有轮流买酒（a shout）的习惯。,Trong quán rượu thường có văn hóa mời nhau theo lượt (a shout).,"Di pub, ada budaya bergiliran membayar minuman (a shout)."
dining.rule23,Avoid business talk unless the host initiates.,避免在餐桌谈生意，除非主人先提。,Tránh nói chuyện kinh doanh trừ khi chủ tiệc gợi ý.,Hindari membicarakan bisnis kecuali tuan rumah memulai.
dining.rule24,"Respect diverse diets: vegetarian, halal, gluten-free, etc.",尊重多元饮食习惯：素食、清真、无麸质等。,"Tôn trọng chế độ ăn đa dạng: chay, halal, không gluten.","Hormati diet beragam: vegetarian, halal, bebas gluten."
dining.rule25,"Ask for alternative utensils (e.g., chopsticks) if needed.",需要时可询问是否有筷子等餐具。,Có thể hỏi xin dụng cụ thay thế (ví dụ: đũa).,Minta peralatan alternatif (misalnya sumpit) bila perlu.
dining.rule26,Portions may be large; consider sharing or ordering small plates.,份量较大时可分享或点小份。,Khẩu phần thường lớn; cân nhắc chia sẻ hoặc gọi phần nhỏ.,Porsi biasanya besar; pertimbangkan berbagi atau memesan porsi kecil.
dining.rule27,Ask politely for takeaway if food is unfinished.,如需打包请礼貌询问。,Có thể xin mang về nếu chưa ăn hết.,Bisa minta dibungkus jika tidak habis.
dining.rule28,In casual restaurants you may share a table; greet politely.,在非正式餐厅可能需要拼桌，可礼貌寒暄。,Trong quán bình dân có thể phải ngồi ghép bàn; chào hỏi lịch sự.,Di restoran santai mungkin harus berbagi meja; sapa dengan sopan.
dining.rule29,Payment: usually the inviter pays; guest should offer symbolically.,通常由邀请方买单，客人应象征性提出付款。,Thường người mời sẽ trả tiền; khách nên đề nghị trả mang tính tượng trưng.,Biasanya yang mengundang yang membayar; tamu harus menawarkan secara simbolis.
dining.rule30,Tipping is not mandatory in Australia; only 5–10% in fine dining.,澳洲没有强制小费，仅在高档餐厅或特别满意时给5–10%。,Không bắt buộc tiền tip ở Úc; chỉ 5–10% trong nhà hàng cao cấp.,Tidak ada budaya tip wajib di Australia; hanya 5–10% di restoran mewah.
